Only in Index 1,Only in Index 2,In Both
Nop10,P2ry14,Folh1
Npepl1,P3h4,Fos
Nphs1,Padi2,Fosb
Npr1,Pafah1b3,Fosl2
Nptx1,Pantr2,Foxd1
Npy1r,Park7,Foxo1
Nr1h3,Parp10,Foxp2
Nrm,Parp8,Fras1
Nrp2,Pax6os1,Frat1
Nsfl1c,Pcdh10,Frem1
Nsg1,Pcdh18,Frem2
Nt5dc2,Pcdhac2,Frem3
Ntsr2,Pcdhb10,Frk
Nuak2,Pcdhb11,Frmd3
Nudt1,Pcdhb3,Frmd4b
Nudt15,Pcdhb4,Frmd5
Nudt16,Pcdhb5,Frmpd1
Nudt7,Pcdhb9,Frmpd3
Nup62,Pcp4,Frmpd4
Nupr1l,Pcyox1l,Frrs1
Nwd1,Pde10a,Frs3
Nxn,Pde12,Fsbp
Nxph4,Pde4b,Fsip1
Nynrin,Pdgfc,Fstl5
Oas1c,Pdlim2,Fundc2
Oat,Pdzd7,Fxyd1
Oca2,Pdzph1,Fyb
Odc1,Peg10,Fyb2
Ogn,Peg3,Gab1
Olfr1156,Perp,Gab2
Olfr323,Pfdn5,Gabarap
Onecut2,Pfdn6,Gabarapl1
Opalin,Pgf,Gabrg1
Opn3,Phex,Gabrg3
Opn4,Phf5a,Gad1
Optc,Pias3,Gad1os
Orai3,Pik3c2g,Gad2
Ormdl1,Pik3r1,Galnt14
Osr1,Pin4,Galnt17
Otoa,Pla2g3,Galnt7
Otub1,Pla2g4e,Galnt9
Otud6b,Plcd4,Galntl6
Otx1,Plce1,Gamt
Oxnad1,Plcg2,Garnl3
P2rx4,Plch1,Gatm
P2ry6,Pld6,Gbp7
P4hb,Plekhf2,Gcnt4
Pabpc4,Plekhh3,Gdf10
Paics,Plin2,Gdpd5
Papln,Plk1,Gfpt2
Papss2,Plk2,Gfra1
Paqr4,Pmf1,Gfra2
Paqr5,Pmfbp1,Ggact
Paqr6,Pmpca,Ggt5
Parp12,Pnoc,Ghitm
Parp16,Pnpla2,Ghr
Parp4,Pnrc2,Gja1
Parp9,Poglut3,Gjb2
Parpbp,Pola1,Gjb6
Pars2,Polr2f,Gjc3
Parvg,Polr2g,Gjd2
Pcbd1,Polr3h,Gldc
Pcdh20,Polr3k,Gli2
Pcdh8,Pomc,Gli3
Pcdh9,Pomp,Glis3
Pcdha12,Pon3,Glo1
Pcdha8,Postn,Glra2
Pcdhb18,Pou3f2,Glra3
Pcdhb7,Pou3f3,Glul
Pcdhgb6,Pparg,Glyctk
Pcolce,Ppif,Gna14
Pcp4l1,Ppp1r14a,Gna15
Pdcd11,Ppp2r3c,Gnasas1
Pde4a,Ppp3r2,Gng13
Pdp2,Pqlc1,Golim4
Pdxk,Prepl,Gpc3
Pdxp,Prickle4,Gpc5
Pef1,Prkar1a,Gpc6
Pet100,Prkg2,Gper1
Pex26,Prkra,Gpr101
Pfdn1,Prps1l3,Gpr149
Pfkfb1,Prrg3,Gpr156
Pgk1,Prrg4,Gpr157
Pgrmc2,Prss22,Gpr176
Phgdh,Prss23,Gpr3
Phlda3,Psd2,Gpr37l1
Pik3ap1,Psma4,Gpr6
Pim3,Ptcra,Gpr62
Plaat1,Ptger4,Gpr63
Plcxd1,Ptges,Gpr88
Plekha4,Ptgis,Gprc5b
Plekhd1,Pth1r,Gpx4
Plekhg2,Ptpn13,Gramd3
Plekho2,Ptprq,Grap2
Plin3,Ptprt,Greb1l
Plk4,Pttg1,Grhl3
Plod1,Pwwp2b,Gria1
Plod2,Pwwp3b,Grid2
Plpp2,Pzp,Grik1
Pls3,Qk,Grik3
Pltp,Rab32,Grik4
Plxdc1,Rab35,Grin3a
Plxnb1,Rab38,Grip1
Pnma1,Rab3a,Grip1os1
Pnma2,Rab3il1,Grip1os2
Pnmal2,Rad23a,Grip2
Pnp,Rad51,Grk2
Pnpla7,Ramac,Grk5
Pold1,Rapgef4os1,Grm3
Pold2,Rapgef4os2,Grm8
Polr1b,Rapgef5,Grn
Polr2l,Rarres2,Grrp1
Pon2,Rasd1,Gsap
Popdc3,Rasgef1c,Gsdme
Ppp1ca,Rasgrp4,Gsg1l
Ppp1r15a,Rassf2,Gss
